Periodo;Ano;Mes;Atrativo;Adulto;Meia;Registro_original
2025-08;2025;Ago;Bondinhos Aéreos;120.00;0.00;Sim
2025-08;2025;Ago;Florybal;150.00;75.00;Sim
2025-08;2025;Ago;Le Jardin;30.00;0.00;Sim
2025-08;2025;Ago;Mini Mundo;88.00;58.00;Sim
2025-08;2025;Ago;Olivas de Gramado;97.30;0.00;Sim
2025-08;2025;Ago;Parque do Caracol;0.00;0.00;Não
2025-08;2025;Ago;Pé da Cascata;198.00;0.00;Sim
2025-08;2025;Ago;Skyglass;145.00;0.00;Sim
2025-08;2025;Ago;Snowland;199.90;129.90;Sim
2025-09;2025;Set;Alpen Park;0.00;0.00;Não
2025-09;2025;Set;Bondinhos Aéreos;0.00;0.00;Não
2025-09;2025;Set;Florybal;0.00;0.00;Não
2025-09;2025;Set;Le Jardin;0.00;0.00;Não
2025-09;2025;Set;Mini Mundo;0.00;0.00;Não
2025-09;2025;Set;Olivas de Gramado;0.00;0.00;Não
2025-09;2025;Set;Parque do Caracol;0.00;0.00;Não
2025-09;2025;Set;Pé da Cascata;0.00;0.00;Não
2025-09;2025;Set;Skyglass;0.00;0.00;Não
2025-09;2025;Set;Snowland;319.00;0.00;Não
2025-10;2025;Out;Alpen Park;138.90;0.00;Sim
2025-10;2025;Out;Bondinhos Aéreos;120.00;0.00;Sim
2025-10;2025;Out;Florybal;180.00;90.00;Sim
2025-10;2025;Out;Le Jardin;30.00;0.00;Sim
2025-10;2025;Out;Mini Mundo;88.00;58.00;Sim
2025-10;2025;Out;Olivas de Gramado;97.30;0.00;Sim
2025-10;2025;Out;Parque do Caracol;0.00;0.00;Não
2025-10;2025;Out;Pé da Cascata;198.00;0.00;Sim
2025-10;2025;Out;Skyglass;145.00;0.00;Sim
2025-10;2025;Out;Snowland;199.90;129.50;Sim
2025-11;2025;Nov;Alpen Park;138.90;0.00;Sim
2025-11;2025;Nov;Bondinhos Aéreos;120.00;0.00;Sim
2025-11;2025;Nov;Florybal;180.00;90.00;Sim
2025-11;2025;Nov;Le Jardin;35.00;0.00;Sim
2025-11;2025;Nov;Mini Mundo;108.00;64.00;Sim
2025-11;2025;Nov;Olivas de Gramado;97.30;0.00;Sim
2025-11;2025;Nov;Parque do Caracol;0.00;0.00;Não
2025-11;2025;Nov;Pé da Cascata;288.00;0.00;Sim
2025-11;2025;Nov;Skyglass;145.00;0.00;Sim
2025-11;2025;Nov;Snowland;199.90;129.50;Sim
2025-12;2025;Dez;Alpen Park;138.90;0.00;Sim
2025-12;2025;Dez;Bondinhos Aéreos;120.00;0.00;Sim
2025-12;2025;Dez;Florybal;180.00;90.00;Sim
2025-12;2025;Dez;Le Jardin;35.00;0.00;Sim
2025-12;2025;Dez;Mini Mundo;108.00;64.00;Sim
2025-12;2025;Dez;Olivas de Gramado;83.30;0.00;Sim
2025-12;2025;Dez;Parque do Caracol;0.00;0.00;Não
2025-12;2025;Dez;Pé da Cascata;248.00;0.00;Sim
2025-12;2025;Dez;Skyglass;0.00;0.00;Sim
2025-12;2025;Dez;Snowland;299.90;164.50;Sim
2026-01;2026;Jan;Alpen Park;138.90;0.00;Sim
2026-01;2026;Jan;Bondinhos Aéreos;120.00;0.00;Sim
2026-01;2026;Jan;Florybal;190.00;95.00;Sim
2026-01;2026;Jan;Le Jardin;35.00;0.00;Sim
2026-01;2026;Jan;Mini Mundo;98.00;64.00;Sim
2026-01;2026;Jan;Olivas de Gramado;0.00;0.00;Sim
2026-01;2026;Jan;Parque do Caracol;0.00;0.00;Não
2026-01;2026;Jan;Pé da Cascata;198.00;0.00;Sim
2026-01;2026;Jan;Skyglass;145.00;0.00;Sim
2026-01;2026;Jan;Snowland;299.90;129.50;Sim
2026-02;2026;Fev;Alpen Park;138.90;0.00;Sim
2026-02;2026;Fev;Bondinhos Aéreos;120.00;0.00;Sim
2026-02;2026;Fev;Florybal;180.00;90.00;Sim
2026-02;2026;Fev;Le Jardin;35.00;0.00;Sim
2026-02;2026;Fev;Mini Mundo;68.90;64.00;Sim
2026-02;2026;Fev;Olivas de Gramado;99.00;0.00;Sim
2026-02;2026;Fev;Parque do Caracol;95.00;47.50;Sim
2026-02;2026;Fev;Pé da Cascata;148.00;0.00;Sim
2026-02;2026;Fev;Skyglass;145.00;0.00;Sim
2026-02;2026;Fev;Snowland;199.90;129.50;Sim
2026-03;2026;Mar;Alpen Park;138.90;0.00;Sim
2026-03;2026;Mar;Bondinhos Aéreos;120.00;0.00;Sim
2026-03;2026;Mar;Florybal;180.00;90.00;Sim
2026-03;2026;Mar;Le Jardin;35.00;0.00;Sim
2026-03;2026;Mar;Mini Mundo;68.90;64.00;Sim
2026-03;2026;Mar;Olivas de Gramado;99.00;0.00;Sim
2026-03;2026;Mar;Parque do Caracol;114.90;57.00;Sim
2026-03;2026;Mar;Pé da Cascata;111.00;0.00;Sim
2026-03;2026;Mar;Skyglass;165.00;0.00;Sim
2026-03;2026;Mar;Snowland;129.50;64.75;Sim
2026-04;2026;Abr;Alpen Park;148.90;0.00;Sim
2026-04;2026;Abr;Bondinhos Aéreos;120.00;0.00;Sim
2026-04;2026;Abr;Florybal;180.00;90.00;Sim
2026-04;2026;Abr;Le Jardin;35.00;0.00;Sim
2026-04;2026;Abr;Mini Mundo;98.00;64.00;Sim
2026-04;2026;Abr;Olivas de Gramado;119.00;0.00;Sim
2026-04;2026;Abr;Parque do Caracol;114.90;57.00;Sim
2026-04;2026;Abr;Pé da Cascata;148.50;0.00;Sim
2026-04;2026;Abr;Skyglass;165.00;0.00;Sim
2026-04;2026;Abr;Snowland;219.90;144.50;Sim
2026-05;2026;Mai;Alpen Park;148.90;0.00;Sim
2026-05;2026;Mai;Bondinhos Aéreos;120.00;0.00;Sim
2026-05;2026;Mai;Florybal;190.00;95.00;Sim
2026-05;2026;Mai;Le Jardin;35.00;0.00;Sim
2026-05;2026;Mai;Mini Mundo;98.00;64.00;Sim
2026-05;2026;Mai;Olivas de Gramado;99.00;0.00;Sim
2026-05;2026;Mai;Parque do Caracol;114.90;57.00;Sim
2026-05;2026;Mai;Pé da Cascata;198.00;0.00;Sim
2026-05;2026;Mai;Skyglass;165.00;0.00;Sim
2026-05;2026;Mai;Snowland;219.90;144.50;Sim
2026-06;2026;Jun;Alpen Park;148.90;0.00;Sim
2026-06;2026;Jun;Bondinhos Aéreos;120.00;0.00;Sim
2026-06;2026;Jun;Florybal;190.00;95.00;Sim
2026-06;2026;Jun;Le Jardin;35.00;0.00;Sim
2026-06;2026;Jun;Mini Mundo;128.00;64.00;Sim
2026-06;2026;Jun;Olivas de Gramado;119.00;0.00;Sim
2026-06;2026;Jun;Parque do Caracol;114.90;57.00;Sim
2026-06;2026;Jun;Pé da Cascata;198.00;0.00;Sim
2026-06;2026;Jun;Skyglass;180.00;0.00;Sim
2026-06;2026;Jun;Snowland;219.90;144.50;Sim
2026-07;2026;Jul;Alpen Park;158.90;0.00;Sim
2026-07;2026;Jul;Bondinhos Aéreos;130.00;0.00;Sim
2026-07;2026;Jul;Florybal;190.00;95.00;Sim
2026-07;2026;Jul;Le Jardin;35.00;0.00;Sim
2026-07;2026;Jul;Mini Mundo;128.00;64.00;Sim
2026-07;2026;Jul;Olivas de Gramado;139.00;0.00;Sim
2026-07;2026;Jul;Parque do Caracol;134.90;67.00;Sim
2026-07;2026;Jul;Pé da Cascata;248.00;0.00;Sim
2026-07;2026;Jul;Skyglass;180.00;0.00;Sim
2026-07;2026;Jul;Snowland;319.90;184.50;Sim
